Region,Name,Category,Req30dTotal,ReqAvgDaily,Errors5xx30d,Created
ap-northeast-2,stag-app-1-alb,LOW-TRAFFIC,14263,460,1,2025-06-19T14:34:35.848000+00:00
ap-northeast-2,stag-app-2-alb,LOW-TRAFFIC,2664,85,0,2025-06-20T07:09:37.062000+00:00
ap-northeast-2,prod-app-1-alb,NORMAL,109099,3519,270,2025-06-24T01:08:28.259000+00:00
ap-northeast-2,prod-app-2-alb,LOW-TRAFFIC,25290,815,0,2025-06-24T16:06:36.704000+00:00
ap-northeast-2,shared-app-1-alb,NORMAL,47295,1525,0,2025-09-02T08:49:49.526000+00:00
ap-northeast-2,dev-app-1-alb,NORMAL,32540,1049,13,2025-10-04T18:58:24.164000+00:00
ap-northeast-2,dev-app-2-alb,LOW-TRAFFIC,5992,193,39,2025-10-05T15:21:10.995000+00:00
ap-northeast-2,shared-app-2-alb,ZERO-TRAFFIC,0,0,0,2025-10-05T16:05:42.225000+00:00
ap-northeast-2,dev-app-3-alb,NORMAL,37677,1215,15,2025-10-05T16:16:07.895000+00:00
ap-northeast-2,dev-app-4-alb,LOW-TRAFFIC,2276,758,85,2025-10-20T01:23:15.210000+00:00
ap-northeast-2,shared-app-3-alb,NORMAL,71733,2313,122,2025-10-27T08:40:40.933000+00:00
ap-northeast-2,shared-app-4-alb,LOW-TRAFFIC,41,1,0,2025-10-28T08:13:34.218000+00:00
ap-northeast-2,shared-app-5-alb,ZERO-TRAFFIC,0,0,0,2025-10-28T08:16:53.782000+00:00
ap-northeast-2,stag-app-3-alb,LOW-TRAFFIC,445,148,6,2025-11-04T06:44:04.933000+00:00
ap-northeast-2,prod-app-3-alb,LOW-TRAFFIC,19714,635,8,2025-11-04T09:00:06.643000+00:00
ap-northeast-2,prod-app-4-alb,ZERO-TRAFFIC,0,0,0,2025-11-06T05:37:28.093000+00:00
ap-northeast-2,dev-app-5-alb,ZERO-TRAFFIC,0,0,0,2025-11-24T01:50:12.949000+00:00
ap-northeast-2,shared-app-6-alb,NORMAL,356350,11495,82,2025-12-15T06:34:28.504000+00:00
ap-northeast-2,prod-app-5-alb,ZERO-TRAFFIC,0,0,0,2025-12-22T02:48:21.060000+00:00
ap-northeast-2,dev-app-6-alb,LOW-TRAFFIC,26680,860,172,2026-04-28T08:12:44.924000+00:00
ap-northeast-2,stag-app-4-alb,LOW-TRAFFIC,19601,816,33,2026-05-06T07:47:27.607000+00:00
ap-northeast-2,dev-app-7-alb,LOW-TRAFFIC,645,64,2,2026-05-19T05:57:17.720000+00:00
ap-northeast-2,stag-app-5-alb,LOW-TRAFFIC,4,0,0,2026-05-22T05:22:39.885000+00:00
ap-northeast-2,prod-app-6-alb,LOW-TRAFFIC,2753,688,0,2026-05-26T00:48:42.437000+00:00
