Id,Domain,Enabled,Origin,Comment,PriceClass
E0000000000001,d0000000000001.cloudfront.net,False,shared-app-63.s3-website.ap-northeast-2.amazonaws.com,,PriceClass_All
E0000000000002,d0000000000002.cloudfront.net,True,dev-app-34.s3.ap-northeast-2.amazonaws.com,dev-app-34,PriceClass_200
E0000000000003,d0000000000003.cloudfront.net,True,dev-app-31.s3.ap-northeast-2.amazonaws.com,dev-app-45,PriceClass_200
E0000000000004,d0000000000004.cloudfront.net,True,dev-app-31.s3.ap-northeast-2.amazonaws.com,dev-app-46,PriceClass_200
E0000000000005,d0000000000005.cloudfront.net,True,dev-app-31.s3.ap-northeast-2.amazonaws.com,dev-app-47,PriceClass_200
E0000000000006,d0000000000006.cloudfront.net,True,stag-app-19.s3.ap-northeast-2.amazonaws.com,stag-app-19,PriceClass_200
E0000000000007,d0000000000007.cloudfront.net,True,stag-app-17.s3.ap-northeast-2.amazonaws.com,stag-app-22,PriceClass_200
E0000000000008,d2qg9x15gnmw.cloudfront.net,True,stag-app-17.s3.ap-northeast-2.amazonaws.com,stag-app-23,PriceClass_200
E0000000000009,d0000000000008.cloudfront.net,True,stag-app-17.s3.ap-northeast-2.amazonaws.com,stag-app-24,PriceClass_200
E0000000000010,d0000000000009.cloudfront.net,True,prod-app-16.s3.ap-northeast-2.amazonaws.com,prod-app-22,PriceClass_200
E0000000000011,d0000000000010.cloudfront.net,True,prod-app-18.s3.ap-northeast-2.amazonaws.com,prod-app-18,PriceClass_200
E0000000000012,d0000000000011.cloudfront.net,True,prod-app-16.s3.ap-northeast-2.amazonaws.com,prod-app-23,PriceClass_200
E0000000000013,d0000000000012.cloudfront.net,True,prod-app-16.s3.ap-northeast-2.amazonaws.com,prod-app-24,PriceClass_200
E0000000000014,d0000000000013.cloudfront.net,True,prod-app-7-alb.ap-northeast-2.elb.amazonaws.com,CM API Header-based routing (prod/stag ALB),PriceClass_100
E0000000000015,d0000000000014.cloudfront.net,False,dev-app-30.s3.ap-northeast-2.amazonaws.com,dev-app-48,PriceClass_All
E0000000000016,d0000000000015.cloudfront.net,False,dev-app-30.s3.ap-northeast-2.amazonaws.com,dev-app-49,PriceClass_All
E0000000000017,d0000000000016.cloudfront.net,False,dev-app-30.s3.ap-northeast-2.amazonaws.com,dev-app-50,PriceClass_100
E0000000000018,d0000000000017.cloudfront.net,False,dev-app-30.s3.ap-northeast-2.amazonaws.com,dev-app-51,PriceClass_100
E0000000000019,d0000000000018.cloudfront.net,False,dev-app-30.s3.ap-northeast-2.amazonaws.com,dev-app-52,PriceClass_100
E0000000000020,d0000000000019.cloudfront.net,False,dev-app-30.s3.ap-northeast-2.amazonaws.com,dev-app-53,PriceClass_100
E0000000000021,d0000000000020.cloudfront.net,False,dev-app-30.s3.ap-northeast-2.amazonaws.com,dev-app-54,PriceClass_All
E0000000000022,d0000000000021.cloudfront.net,False,dev-app-30.s3.ap-northeast-2.amazonaws.com,dev-app-55,PriceClass_All
E0000000000023,d0000000000022.cloudfront.net,False,dev-app-30.s3.ap-northeast-2.amazonaws.com,dev-app-56,PriceClass_All
E0000000000024,d0000000000023.cloudfront.net,True,dev-app-44.s3.ap-northeast-2.amazonaws.com,dev-app-44,PriceClass_All
E0000000000025,d0000000000024.cloudfront.net,True,stag-app-16.s3.ap-northeast-2.amazonaws.com,stag-app-16,PriceClass_All
E0000000000026,d0000000000025.cloudfront.net,True,prod-app-20.s3.ap-northeast-2.amazonaws.com,prod-app-20,PriceClass_All
E0000000000027,d0000000000026.cloudfront.net,True,dev-app-39.s3.ap-northeast-2.amazonaws.com,dev-app-39,PriceClass_All
E0000000000028,d0000000000027.cloudfront.net,True,dev-app-42.s3.ap-northeast-2.amazonaws.com,dev-app-42,PriceClass_200
