Region,Name,Runtime,Memory,Timeout,CodeSize
ap-northeast-2,dev-app-11,python3.13,128,3,1903
ap-northeast-2,shared-app-20,python3.13,128,900,5804
ap-northeast-2,shared-app-21,nodejs22.x,256,10,1777
ap-northeast-2,prod-app-6,nodejs20.x,128,10,928
ap-northeast-2,prod-app-7,nodejs20.x,128,10,474
ap-northeast-2,shared-app-22,python3.13,128,900,5804
ap-northeast-2,dev-app-12,python3.13,128,900,5804
ap-northeast-2,stag-app-9,python3.13,128,3,839
ap-northeast-2,shared-app-23,python3.13,128,900,5804
ap-northeast-2,shared-app-24,python3.13,128,900,5804
ap-northeast-2,dev-app-13,python3.13,128,10,2536
ap-northeast-2,dev-app-14,python3.13,128,900,5804
ap-northeast-2,dev-app-15,python3.13,128,900,5804
ap-northeast-2,shared-app-25,python3.13,128,900,5804
ap-northeast-2,prod-app-8,python3.13,128,900,5804
ap-northeast-2,shared-app-26,nodejs22.x,512,60,5238121
ap-northeast-2,shared-app-27,python3.13,128,900,5804
ap-northeast-2,dev-app-16,python3.13,128,10,2810
ap-northeast-2,shared-app-28,nodejs22.x,512,60,15434752
ap-northeast-2,dev-app-17,python3.13,128,10,4142
ap-northeast-2,shared-app-29,python3.13,128,900,5804
ap-northeast-2,dev-app-18,nodejs18.x,1024,6,4389770
ap-northeast-2,prod-app-9,,512,600,0
ap-northeast-2,shared-app-30,python3.13,128,900,5804
us-east-1,shared-app-31,nodejs18.x,128,5,840
