Region,Name,Retention,Bytes
ap-northeast-2,shared-bi-5,7,0
ap-northeast-2,shared-bi-6,7,0
ap-northeast-2,stag-app-10,1,0
ap-northeast-2,stag-app-11,14,2629551
ap-northeast-2,shared-app-32,,146238
ap-northeast-2,shared-app-33,,7002
ap-northeast-2,shared-app-34,,24357
ap-northeast-2,shared-app-35,,209340
ap-northeast-2,shared-app-36,,13295
ap-northeast-2,shared-app-37,,34679
ap-northeast-2,dev-app-19,,144588
ap-northeast-2,shared-app-38,,21661
ap-northeast-2,shared-app-39,,46821
ap-northeast-2,shared-app-40,7,0
ap-northeast-2,dev-app-20,731,49386
ap-northeast-2,dev-app-21,731,14459
ap-northeast-2,prod-app-10,731,3673
ap-northeast-2,shared-app-41,7,3188
ap-northeast-2,shared-app-42,7,0
ap-northeast-2,dev-app-22,7,0
ap-northeast-2,dev-app-23,3,508745
ap-northeast-2,dev-app-24,3,0
ap-northeast-2,dev-app-25,3,19003
ap-northeast-2,dev-app-26,7,0
ap-northeast-2,prod-app-11,30,425609
ap-northeast-2,shared-app-43,3,0
ap-northeast-2,shared-app-44,14,24009
ap-northeast-2,shared-app-45,14,0
ap-northeast-2,dev-app-27,1,0
ap-northeast-2,shared-app-46,3,0
ap-northeast-2,stag-app-12,7,0
ap-northeast-2,prod-app-12,30,0
ap-northeast-2,prod-app-13,30,0
ap-northeast-2,prod-app-3-postgres,7,752062
ap-northeast-2,stag-app-4-postgres,,66860296
ap-northeast-2,shared-app-47,7,1656
ap-northeast-2,prod-app-14,30,1252
ap-northeast-2,shared-app-48,30,0
ap-northeast-2,stag-app-13,30,0
ap-northeast-2,shared-bi-7,30,0
ap-northeast-2,dev-app-28,7,576096159
ap-northeast-2,dev-app-29,7,38361
ap-northeast-2,prod-app-15,7,27734628
ap-northeast-2,stag-app-14,7,497591343
ap-northeast-2,stag-app-15,14,40915
ap-northeast-2,shared-obs-1,30,177346634
us-west-1,shared-app-49,,4737
us-west-1,shared-app-50,,9083
us-east-1,shared-app-51,,1284
